번호,종목명,평가액(억 원),자산군 내 비중(퍼센트),지분율(퍼센트),기준일
2789,유나이티드제약,166,0.01,3.77,2023
2790,에이직랜드,164,0.01,2.6,2023
2791,셀트리온제약,164,0.01,0.45,2023
2792,종근당홀딩스,163,0.01,5.5,2023
2793,HL홀딩스,163,0.01,4.81,2023
2794,에스티아이,162,0.01,3.46,2023
2795,금호타이어,162,0.01,1.04,2023
2796,환인제약,161,0.01,5.76,2023
2797,동국제약,161,0.01,2.24,2023
2798,가온칩스,158,0.01,2.4,2023
2799,지아이이노베이션,157,0.01,2.96,2023
2800,천보,156,0.01,1.41,2023
2801,성광벤드,154,0.01,4.43,2023
2802,비나텍,154,0.01,5.7,2023
2803,쏘카,152,0.01,3,2023
2804,케이아이엔엑스,151,0.01,3.1,2023
2805,애경산업,151,0.01,3.07,2023
2806,동원시스템즈,151,0.01,1.51,2023
2807,효성화학,150,0.01,4.6,2023
2808,일동제약,146,0.01,2.91,2023
2809,성우하이텍,146,0.01,1.92,2023
2810,서진시스템,145,0.01,2.13,2023
2811,동양생명,144,0.01,1.97,2023
2812,엠씨넥스,144,0.01,2.64,2023
2813,풀무원,143,0.01,3.58,2023
2814,서흥,141,0.01,4.26,2023
2815,KH바텍,141,0.01,4.06,2023
2816,에스피지,140,0.01,1.75,2023
2817,한솔제지,138,0.01,5.45,2023
2818,CJ CGV,137,0.01,1.93,2023
2819,LX하우시스,134,0.01,3.42,2023
2820,와이솔,131,0.01,5.96,2023
2821,피엔에이치테크,130,0.01,5.37,2023
2822,올릭스,128,0.01,5.49,2023
2823,감성코퍼레이션,127,0.01,4.43,2023
2824,넥슨게임즈,127,0.01,1.28,2023
2825,에코앤드림,125,0.01,4.94,2023
2826,현대그린푸드,125,0.01,3.2,2023
2827,한진,124,0.01,3.35,2023
2828,프로텍,121,0.01,2.41,2023
2829,대원제약,121,0.01,3.47,2023
2830,NICE평가정보,120,0.01,2.12,2023
2831,RFHIC,119,0.01,2.49,2023
2832,파미셀,118,0.01,3.23,2023
2833,에코프로에이치엔,117,0.01,1.11,2023
2834,콜마비앤에이치,116,0.01,2.19,2023
2835,삼천리,116,0.01,3.01,2023
2836,넥스틴,116,0.01,1.62,2023
2837,디와이파워,115,0.01,8.42,2023
2838,큐렉소,115,0.01,1.5,2023
2839,코리아써키트,114,0.01,2.42,2023
2840,지누스,114,0.01,3.37,2023
2841,SK디앤디,113,0.01,1.73,2023
2842,삼화콘덴서,113,0.01,2.85,2023
2843,피에스케이홀딩스,110,0.01,1.89,2023
2844,지씨셀,109,0.01,1.51,2023
2845,케이씨,108,0.01,4.33,2023
2846,LS전선아시아,107,0.01,1.67,2023
2847,펌텍코리아,107,0.01,3.6,2023
2848,E1,107,0.01,2.5,2023
2849,SNT다이내믹스,106,0.01,2.21,2023
2850,LG생활건강우,105,0.01,3.17,2023
2851,딥노이드,105,0.01,4.42,2023
2852,제이브이엠,105,0.01,3.28,2023
2853,한화3우B,105,0.01,3.35,2023
2854,바디텍메드,105,0.01,2.17,2023
2855,레이크머티리얼즈,104,0.01,0.92,2023
2856,카카오게임즈,104,0.01,0.49,2023
2857,대한전선,104,0.01,0.83,2023
2858,마크로젠,103,0.01,4.51,2023
2859,아모레퍼시픽우,103,0.01,2.65,2023
2860,이수스페셜티케미컬,100,0.01,1.13,2023
2861,한미약품(무상),100,0.01,0,2023
2862,실리콘투,99,0.01,2.13,2023
2863,HDC,98,0.01,2.39,2023
2864,서연이화,98,0.01,1.89,2023
2865,금호석유우,98,0.01,5.27,2023
2866,미래에셋증권2우B,97,0.01,1.88,2023
2867,삼양사,97,0.01,2.12,2023
2868,신세계 I&C,97,0.01,4.65,2023
2869,매일유업,97,0.01,2.99,2023
2870,LF,97,0.01,2.49,2023
2871,우신시스템,96,0.01,5.91,2023
2872,안랩,94,0.01,1.37,2023
2873,CJ제일제당 우,92,0.01,5.19,2023
2874,넥스트칩,89,0.01,2.67,2023
2875,DS단석,87,0.01,0.52,2023
2876,덕산하이메탈,87,0.01,2.68,2023
2877,아이마켓코리아,87,0.01,3.03,2023
2878,엘앤씨바이오,87,0.01,1.32,2023
2879,삼익THK,86,0.01,3.79,2023
2880,테스,85,0.01,2.13,2023
2881,DL건설,84,0.01,2.98,2023
2882,솔브레인홀딩스,83,0.01,0.9,2023
2883,부광약품,83,0.01,1.92,2023
2884,SGC에너지,83,0.01,2.11,2023
2885,태광산업,82,0.01,1.21,2023
2886,삼진제약,82,0.01,2.73,2023
2887,신흥에스이씨,81,0.01,2.22,2023
2888,성일하이텍,80,0.01,0.61,2023
2889,코람코라이프인프라리츠,80,0.01,1.74,2023
2890,씨에스베어링,79,0.01,2.65,2023
2891,신세계푸드,79,0.01,5.16,2023
2892,티엘비,78,0.01,2.61,2023
2893,송원산업,77,0.01,1.97,2023
2894,엘오티베큠,77,0.01,2.13,2023
2895,현대지에프홀딩스,75,0.01,1.33,2023
2896,농심홀딩스,75,0.01,2.51,2023
2897,디어유,74,0.01,0.97,2023
2898,메드팩토,72,0,2.96,2023
2899,오픈엣지테크놀로지,72,0,1.3,2023
2900,스카이라이프,71,0,2.53,2023
2901,대한제강,71,0,2.35,2023
2902,종근당(무상),71,0,0,2023
2903,서부T&D,71,0,1.6,2023
2904,잉글우드랩,70,0,2.66,2023
2905,우주일렉트로,70,0,4.78,2023
2906,일진전기,70,0,1.77,2023
2907,노루페인트,69,0,3.74,2023
2908,풍산홀딩스,68,0,1.83,2023
2909,신도리코,67,0,2.03,2023
2910,한독,66,0,3.37,2023
2911,아이쓰리시스템,66,0,2.93,2023
2912,한국철강,66,0,2.37,2023
2913,한국콜마홀딩스,66,0,2.27,2023
2914,아세아,66,0,1.64,2023
2915,제이앤티씨,65,0,0.94,2023
2916,수산인더스트리,64,0,2.37,2023
2917,피에이치에이,64,0,3.07,2023
2918,쿠쿠홀딩스,64,0,1.1,2023
2919,HD현대에너지솔루션,63,0,2.01,2023
2920,신한알파리츠,63,0,1.11,2023
2921,AP시스템,63,0,1.84,2023
2922,NICE,62,0,1.26,2023
2923,이녹스,61,0,2.82,2023
2924,로보티즈,60,0,1.54,2023
2925,STX중공업,60,0,1.8,2023
2926,한국자산신탁,60,0,1.52,2023
2927,골프존,60,0,1.03,2023
2928,브이티,59,0,1.01,2023
2929,진성티이씨,59,0,2.46,2023
2930,콘텐트리중앙,59,0,1.99,2023
2931,케어젠,59,0,0.4,2023
2932,하이비젼시스템,58,0,2,2023
2933,삼성SDI우,57,0,1.43,2023
2934,데브시스터즈,57,0,0.97,2023
2935,세진중공업,56,0,2.09,2023
2936,동성케미컬,56,0,2.52,2023
2937,휴온스,56,0,1.22,2023
2938,바이오니아,56,0,0.65,2023
2939,유비쿼스,56,0,3.34,2023
2940,네오팜,55,0,2.6,2023
2941,파트론,55,0,1.15,2023
2942,고려제강,54,0,1.06,2023
2943,씨젠,53,0,0.45,2023
2944,삼영무역,53,0,2.33,2023
2945,크리스에프앤씨,52,0,2.65,2023
2946,코나아이,52,0,1.95,2023
2947,신영증권,52,0,0.93,2023
2948,동국씨엠,52,0,2.44,2023
2949,와이지-원,51,0,2.93,2023
2950,태경케미컬,51,0,3.18,2023
2951,한국정보통신,51,0,1.43,2023
2952,뷰웍스,51,0,1.89,2023
2953,백산,50,0,2.1,2023
2954,큐리옥스바이오시스템즈,50,0,1.25,2023
2955,에이프릴바이오,50,0,1.38,2023
2956,NHN KCP,50,0,1.21,2023
2957,휴메딕스,50,0,1.31,2023
2958,아모텍,49,0,4.24,2023
2959,에프에스티,49,0,0.92,2023
2960,지역난방공사,49,0,1.72,2023
2961,HLB생명과학,48,0,0.42,2023
2962,비올,48,0,0.97,2023
2963,삼성전기우,48,0,2.32,2023
2964,제이에스코퍼레이션,48,0,2.07,2023
2965,디아이티,47,0,1.36,2023
2966,월덱스,47,0,1.12,2023
2967,진시스템,47,0,7.23,2023
2968,동화기업,47,0,0.38,2023
2969,세방,47,0,1.99,2023
2970,대한약품,47,0,2.82,2023
2971,엔케이맥스무상(보),46,0,0,2023
2972,F&F홀딩스,46,0,0.76,2023
2973,현대차3우B,46,0,1.7,2023
2974,대상홀딩스,46,0,0.95,2023
2975,한글과컴퓨터,45,0,1.32,2023
2976,엔케이맥스,45,0,1.76,2023
2977,GST,45,0,1.77,2023
2978,미원상사,45,0,0.56,2023
2979,대원강업,43,0,1.29,2023
2980,디엔에프,43,0,1.54,2023
2981,네패스,42,0,0.93,2023
2982,비츠로셀,42,0,1.13,2023
2983,윈스,41,0,2.47,2023
2984,SNT홀딩스,41,0,1.47,2023
2985,미원에스씨,41,0,0.6,2023
2986,인트론바이오,41,0,1.38,2023
2987,동양이엔피,41,0,2.52,2023
2988,티웨이항공,41,0,0.86,2023
2989,동국홀딩스,41,0,1.46,2023
2990,인선이엔티,41,0,1.19,2023
2991,키다리스튜디오,40,0,2,2023
2992,화승인더,40,0,2.09,2023
2993,한일홀딩스,40,0,1.16,2023
2994,아난티,40,0,0.66,2023
2995,더네이쳐홀딩스,39,0,1.52,2023
2996,인터플렉스,39,0,1.58,2023
2997,덕우전자,39,0,2.64,2023
2998,메지온,39,0,0.34,2023
2999,KSS해운,39,0,1.8,2023
3000,파인엠텍,38,0,1.16,2023
3001,글로벌텍스프리,38,0,1.37,2023
3002,자람테크놀로지,38,0,2.03,2023
3003,디앤씨미디어,38,0,1.2,2023
3004,한국무브넥스,37,0,1.33,2023
3005,나노팀,37,0,1.26,2023
3006,한국토지신탁,37,0,1.25,2023
3007,HDC랩스,37,0,1.9,2023
3008,액트로,36,0,4.5,2023
3009,신성이엔지,36,0,0.87,2023
3010,우진,36,0,1.92,2023
3011,코스맥스비티아이,36,0,3.54,2023
3012,태경산업,36,0,1.88,2023
3013,LB세미콘,35,0,1.05,2023
3014,유니퀘스트,35,0,2.67,2023
3015,대양전기공업,35,0,3.12,2023
3016,한국쉘석유,35,0,1.19,2023
3017,아모레G우,35,0,5.4,2023
3018,롯데손해보험,35,0,0.47,2023
3019,티앤엘,35,0,1.06,2023
3020,일신방직,34,0,1.66,2023
3021,이랜텍,34,0,1.36,2023
3022,KPX케미칼,34,0,1.63,2023
3023,SIMPAC,34,0,1.31,2023
3024,남해화학,34,0,0.92,2023
3025,JW생명과학,34,0,1.65,2023
3026,덕산테코피아,34,0,0.98,2023
3027,파수,34,0,3.04,2023
3028,사조대림,34,0,1.17,2023
3029,이리츠코크렙,34,0,1.09,2023
3030,토비스,34,0,1.26,2023
3031,모두투어,33,0,1.16,2023
3032,차바이오텍,33,0,0.3,2023
3033,한화갤러리아,33,0,1.27,2023
3034,광동제약,33,0,0.85,2023
3035,KG케미칼,33,0,0.71,2023
3036,바텍,33,0,0.67,2023
3037,나스미디어,33,0,1.27,2023
3038,대덕,33,0,1.51,2023
3039,가온전선,32,0,2.4,2023
3040,코텍,32,0,3.17,2023
3041,리파인,32,0,2.13,2023
3042,포스코스틸리온,32,0,0.93,2023
3043,SAMG엔터,31,0,1.83,2023
3044,벽산,31,0,1.73,2023
3045,한미글로벌,30,0,1.35,2023
3046,신대양제지,30,0,1.33,2023
3047,모트렉스,30,0,0.68,2023
3048,컴투스,30,0,0.48,2023
3049,남양유업,29,0,0.67,2023
3050,오로스테크놀로지,29,0,1.07,2023
3051,SK렌터카,29,0,0.6,2023
3052,코어라인소프트,29,0,0.84,2023
3053,헥토파이낸셜,29,0,1.15,2023
3054,한솔테크닉스,29,0,1.28,2023
3055,CJ4우(전환),28,0,0.96,2023
3056,큐리언트,28,0,4.89,2023
3057,디오,28,0,0.8,2023
3058,이엔에프테크놀로지,28,0,0.8,2023
3059,케이엔제이,28,0,1.82,2023
3060,한국공항,28,0,1.76,2023
3061,SNT에너지,27,0,1.66,2023
3062,NH올원리츠,27,0,1.91,2023
3063,효성ITX,27,0,1.9,2023
3064,무림P&P,27,0,1.37,2023
3065,삼영전자,27,0,1.56,2023
3066,대창단조,27,0,1.53,2023
3067,하나기술,27,0,0.47,2023
3068,삼양패키징,27,0,1.06,2023
3069,서울가스,26,0,0.85,2023
3070,S-Oil우,26,0,1.33,2023
3071,디바이스이엔지,26,0,2.51,2023
3072,한화리츠,26,0,0.73,2023
3073,넥스틸,26,0,1.38,2023
3074,와이엠티,26,0,1.49,2023
3075,미래컴퍼니,25,0,0.83,2023
3076,태경비케이,25,0,1.36,2023
3077,BGF,25,0,0.69,2023
3078,롯데하이마트,24,0,1.01,2023
3079,코오롱글로벌,24,0,1.1,2023
3080,TYM,24,0,0.96,2023
3081,에어부산,24,0,0.67,2023
3082,이수화학,24,0,0.77,2023
3083,휴온스글로벌,24,0,0.79,2023
3084,SFA반도체,24,0,0.24,2023
3085,도화엔지니어링,24,0,0.88,2023
3086,AJ네트웍스,24,0,1.05,2023
3087,유안타증권,24,0,0.46,2023
3088,CJ프레시웨이,23,0,0.83,2023
3089,광주신세계,23,0,0.97,2023
3090,컨텍,23,0,1.03,2023
3091,케이엠더블유,23,0,0.46,2023
3092,레이언스,23,0,1.47,2023
3093,하나제약,23,0,0.92,2023
3094,DB,23,0,0.65,2023
3095,브이원텍,23,0,1.28,2023
3096,티와이홀딩스,23,0,1.06,2023
3097,커넥트웨이브,22,0,0.31,2023
3098,대한제당,22,0,0.78,2023
3099,켄코아에어로스페이스,22,0,1.36,2023
3100,KG이니시스,22,0,0.65,2023
3101,KEC,22,0,0.7,2023
3102,신한서부티엔디리츠,22,0,1.06,2023
3103,흥아해운,22,0,0.36,2023
3104,포스코엠텍,21,0,0.17,2023
3105,디이엔티,21,0,0.63,2023
3106,KISCO홀딩스,21,0,0.55,2023
3107,엔젯,21,0,1.24,2023
3108,웅진씽크빅,21,0,0.71,2023
3109,코오롱,21,0,0.95,2023
3110,디아이씨,21,0,1.08,2023
3111,신풍제약,21,0,0.29,2023
3112,동화약품,21,0,0.72,2023
3113,디와이,21,0,1.33,2023
3114,큐로셀,20,0,0.41,2023
3115,농우바이오,20,0,1.51,2023
3116,지니언스,20,0,1.69,2023
3117,원익홀딩스,20,0,0.77,2023
3118,엠아이텍,20,0,0.92,2023
3119,지어소프트,20,0,1.36,2023
3120,한솔로지스틱스,20,0,2.93,2023
3121,AK홀딩스,20,0,0.87,2023
3122,바이오노트,20,0,0.45,2023
3123,현대퓨처넷,20,0,0.56,2023
3124,한일현대시멘트,20,0,0.65,2023
3125,싸이맥스,20,0,1.24,2023
3126,영진약품,20,0,0.5,2023
3127,디아이,19,0,1.09,2023
3128,현대차증권,19,0,0.71,2023
3129,사람인,19,0,0.95,2023
3130,하림지주,19,0,0.22,2023
3131,현대비앤지스틸,19,0,0.87,2023
3132,모토닉,19,0,0.7,2023
3133,락앤락,19,0,0.71,2023
3134,테이팩스,19,0,1.39,2023
3135,삼양통상,19,0,1.3,2023
3136,일양약품,19,0,0.63,2023
3137,삼성FN리츠,19,0,0.49,2023
3138,다날,19,0,0.59,2023
3139,에스에이엠티,19,0,0.68,2023
3140,셀바스AI,19,0,0.35,2023
3141,NEW,19,0,1.45,2023
3142,아이패밀리에스씨,19,0,0.82,2023
3143,퍼시스,19,0,0.53,2023
3144,에스티큐브,19,0,0.34,2023
3145,SK증권,18,0,0.61,2023
3146,코윈테크,18,0,0.61,2023
3147,코윈테크배당(보),1,0,0,2023
3148,테크윙,18,0,0.43,2023
3149,현대리바트,18,0,1.14,2023
3150,이연제약,18,0,0.59,2023
3151,티앤알바이오팹,18,0,0.95,2023
3152,도이치모터스,18,0,1.15,2023
3153,현대바이오,18,0,0.17,2023
3154,바이오다인,18,0,0.44,2023
3155,스틱인베스트먼트,17,0,0.6,2023
3156,조광피혁,17,0,0.52,2023
3157,교보증권,17,0,0.31,2023
3158,HJ중공업,17,0,0.46,2023
3159,한세예스24홀딩스,17,0,0.88,2023
3160,LG헬로비전,17,0,0.65,2023
3161,켐트로닉스,17,0,0.46,2023
3162,큐리언트유상(보),17,0,0,2023
3163,애니플러스,17,0,1.13,2023
3164,에이플러스에셋,17,0,1.72,2023
3165,동양,17,0,0.7,2023
3166,유진투자증권,17,0,0.49,2023
3167,세아홀딩스,17,0,0.39,2023
3168,랩지노믹스,17,0,0.58,2023
3169,잇츠한불,17,0,0.61,2023
3170,아스플로,16,0,1.18,2023
3171,쏠리드,16,0,0.44,2023
3172,남선알미늄,16,0,0.54,2023
3173,코난테크놀로지,16,0,0.44,2023
3174,영풍정밀,16,0,0.81,2023
3175,아모레G3우(전환),16,0,1.21,2023
3176,GS글로벌,16,0,0.77,2023
3177,진양홀딩스,16,0,0.9,2023
3178,LS마린솔루션,16,0,0.57,2023
3179,제일약품,16,0,0.63,2023
3180,자이에스앤디,16,0,0.81,2023
3181,노루홀딩스,16,0,1.04,2023
3182,대성에너지,16,0,0.7,2023
3183,일진홀딩스,16,0,0.81,2023
3184,조선내화,16,0,0.62,2023
3185,팜스코,16,0,1.3,2023
3186,넥센,15,0,0.69,2023
3187,YG PLUS,15,0,0.55,2023
3188,디앤디플랫폼리츠,15,0,0.74,2023
3189,알루코,15,0,0.51,2023
3190,토니모리,15,0,1.46,2023
3191,대교,15,0,0.68,2023
3192,대한제분,14,0,0.67,2023
3193,성신양회,14,0,0.69,2023
3194,매커스,14,0,0.71,2023
3195,하이딥,14,0,0.68,2023
3196,세종공업,14,0,0.86,2023
3197,하이트진로홀딩스,14,0,0.7,2023
3198,비에이치아이,14,0,0.56,2023
3199,백광산업,14,0,0.4,2023
3200,STX엔진,14,0,0.52,2023
3201,금호건설,14,0,0.73,2023
3202,강남제비스코,14,0,1.03,2023
3203,HDC현대EP,14,0,0.95,2023
3204,태림포장,14,0,0.8,2023
3205,컴투스홀딩스,14,0,0.56,2023
3206,큐리언트무상(보),14,0,0,2023
3207,엠게임,13,0,1.11,2023
3208,경인양행,13,0,0.84,2023
3209,대정화금,13,0,1.11,2023
3210,삼호개발,13,0,1.57,2023
3211,네패스아크,13,0,0.4,2023
3212,한국기업평가,13,0,0.38,2023
3213,씨아이에스,13,0,0.17,2023
3214,신성통상,13,0,0.5,2023
3215,KPX홀딩스,13,0,0.6,2023
3216,금강공업,13,0,0.78,2023
3217,화승알앤에이,13,0,1.63,2023
3218,일진다이아,13,0,0.62,2023
3219,SK이노베이션우,13,0,1.11,2023
3220,경동도시가스,13,0,1.1,2023
3221,동아지질,13,0,0.69,2023
3222,CR홀딩스,13,0,0.41,2023
3223,경방,12,0,0.52,2023
3224,경보제약,12,0,0.62,2023
3225,유니드비티플러스,12,0,1.66,2023
3226,AP위성,12,0,0.6,2023
3227,동아타이어,12,0,0.75,2023
3228,삼부토건,12,0,0.26,2023
3229,무학,12,0,0.8,2023
3230,신테카바이오,12,0,0.56,2023
3231,서울반도체,12,0,0.21,2023
3232,탑머티리얼,12,0,0.25,2023
3233,상아프론테크,12,0,0.34,2023
3234,경농,12,0,0.6,2023
3235,NPC,12,0,0.58,2023
3236,티로보틱스,12,0,0.37,2023
3237,한농화성,12,0,0.48,2023
3238,휴비스,12,0,0.83,2023
3239,코오롱플라스틱,12,0,0.39,2023
3240,제일파마홀딩스,12,0,0.62,2023
3241,삼영,12,0,0.76,2023
3242,윤성에프앤씨,12,0,0.13,2023
3243,신라교역,12,0,0.83,2023
3244,퀄리타스반도체,11,0,0.26,2023
3245,일성신약,11,0,0.36,2023
3246,NH투자증권우,11,0,0.61,2023
3247,에치에프알,11,0,0.48,2023
3248,팅크웨어,11,0,0.62,2023
3249,뉴로메카,11,0,0.29,2023
3250,한국금융지주우,11,0,0.44,2023
3251,LS머트리얼즈,11,0,0.04,2023
3252,LG우,11,0,0.61,2023
3253,셀바스헬스케어,11,0,0.63,2023
3254,DL이앤씨2우(전환),11,0,2.2,2023
3255,현대이지웰,11,0,0.78,2023
3256,한양이엔지,11,0,0.39,2023
3257,휴스틸,11,0,0.39,2023
3258,대성홀딩스,11,0,0.67,2023
3259,미래나노텍,11,0,0.19,2023
3260,유비벨록스,11,0,0.87,2023
3261,박셀바이오,11,0,0.21,2023
3262,예스코홀딩스,10,0,0.53,2023
3263,서울옥션,10,0,0.47,2023
3264,이월드,10,0,0.42,2023
3265,삼화전기,10,0,0.89,2023
3266,대명에너지,10,0,0.34,2023
3267,비씨엔씨,10,0,0.36,2023
3268,진원생명과학,10,0,0.45,2023
3269,나이스정보통신,10,0,0.47,2023
3270,HB솔루션,10,0,0.27,2023
3271,서연,10,0,0.49,2023
3272,샘표식품,10,0,0.78,2023
3273,어보브반도체,10,0,0.4,2023
3274,크라운제과,10,0,0.92,2023
3275,아시아나IDT,10,0,0.45,2023
3276,사조산업,10,0,0.46,2023
3277,DL이앤씨우,10,0,2.4,2023
3278,이건산업,9,0,1.34,2023
3279,삼성출판사,9,0,0.48,2023
3280,아모그린텍,9,0,0.47,2023
3281,동아에스티배당(보),9,0,0,2023
3282,조일알미늄,9,0,0.35,2023
3283,LS네트웍스,9,0,0.27,2023
3284,노바렉스,9,0,0.4,2023
3285,삼화페인트,9,0,0.5,2023
3286,와이엔텍,9,0,0.68,2023
3287,에이블씨엔씨,9,0,0.51,2023
3288,BYC,9,0,0.34,2023
3289,유수홀딩스,9,0,0.59,2023
3290,제이씨케미칼,9,0,0.55,2023
3291,이엠텍,9,0,0.12,2023
3292,JW홀딩스,9,0,0.34,2023
3293,진흥기업,9,0,0.51,2023
3294,동부건설,9,0,0.63,2023
3295,해태제과식품,8,0,0.54,2023
3296,제주반도체,8,0,0.18,2023
3297,이지스밸류리츠,8,0,0.36,2023
3298,에프엔에스테크,8,0,0.86,2023
3299,KB스타리츠,8,0,0.2,2023
3300,코오롱모빌리티그룹,8,0,0.43,2023
3301,종근당바이오,8,0,0.62,2023
3302,NI스틸,8,0,0.47,2023
3303,계룡건설,8,0,0.62,2023
3304,다원시스,8,0,0.17,2023
3305,아미코젠무상(보),8,0,0,2023
3306,대신증권우,8,0,0.23,2023
3307,다올투자증권,8,0,0.33,2023
3308,SK케미칼우,8,0,1.23,2023
3309,동국S&C,8,0,0.45,2023
3310,팸텍,8,0,0.72,2023
3311,경동인베스트,8,0,0.49,2023
3312,에스제이그룹,8,0,0.84,2023
3313,노바텍,8,0,0.31,2023
3314,한신공영,8,0,0.92,2023
3315,비나텍배당(보),8,0,0,2023
3316,셀트리온제약배당(보),8,0,0,2023
3317,에스엔유,8,0,0.78,2023
3318,아미코젠,8,0,0.37,2023
3319,샘표,8,0,0.53,2023
3320,태평양물산,8,0,0.68,2023
3321,화성산업,8,0,0.68,2023
3322,DL우,8,0,1.8,2023
3323,현대약품,7,0,0.56,2023
3324,신일전자,7,0,0.56,2023
3325,웹젠,7,0,0.13,2023
3326,극동유화,7,0,0.49,2023
3327,아남전자,7,0,0.44,2023
3328,그린케미칼,7,0,0.46,2023
3329,롯데칠성우,7,0,1.38,2023
3330,교촌에프앤비,7,0,0.39,2023
3331,선익시스템,7,0,0.26,2023
3332,흥국화재,7,0,0.37,2023
3333,신원,7,0,0.49,2023
3334,강원에너지,7,0,0.15,2023
3335,황금에스티,7,0,0.57,2023
3336,알멕,7,0,0.23,2023
3337,카페24,7,0,0.11,2023
3338,STX,7,0,0.23,2023
3339,젠큐릭스,7,0,0.81,2023
3340,서부T&D배당(보),7,0,0,2023
3341,한솔홀딩스,7,0,0.57,2023
3342,범한퓨얼셀,7,0,0.38,2023
3343,덕양산업,7,0,0.35,2023
3344,한전산업,7,0,0.28,2023
3345,사조동아원,7,0,0.5,2023
3346,한국주철관,7,0,0.42,2023
3347,JW중외제약(무상),7,0,0,2023
3348,제주은행,7,0,0.25,2023
3349,삼익악기,7,0,0.67,2023
3350,대성산업,7,0,0.41,2023
3351,엘앤케이바이오,7,0,0.32,2023
3352,휴비츠,7,0,0.28,2023
3353,세이브존I&C,7,0,0.66,2023
3354,마이크로디지탈,6,0,0.58,2023
3355,아주스틸,6,0,0.34,2023
3356,화천기계,6,0,0.75,2023
3357,KCTC,6,0,0.54,2023
3358,한국석유,6,0,0.44,2023
3359,코퍼스코리아,6,0,0.86,2023
3360,대영포장,6,0,0.51,2023
3361,HS애드,6,0,0.6,2023
3362,선진,6,0,0.39,2023
3363,디와이피엔에프,6,0,0.25,2023
3364,디아이동일배당(보),6,0,0,2023
3365,미원홀딩스,6,0,0.33,2023
3366,아바코,6,0,0.26,2023
3367,제넥신,6,0,0.15,2023
3368,퍼스텍,6,0,0.38,2023
3369,한국내화,6,0,0.48,2023
3370,비즈니스온,6,0,0.21,2023
3371,DB금융투자,6,0,0.36,2023
3372,신라젠,6,0,0.09,2023
3373,쇼박스,6,0,0.28,2023
3374,케이옥션,6,0,0.34,2023
3375,대한광통신,6,0,0.58,2023
3376,에이엘티,6,0,0.28,2023
3377,퓨런티어,6,0,0.21,2023
3378,우리기술투자,6,0,0.11,2023
3379,덱스터,6,0,0.25,2023
3380,제너셈,6,0,0.47,2023
3381,국제약품,6,0,0.44,2023
3382,이엔플러스,6,0,0.21,2023
3383,용평리조트,6,0,0.38,2023
3384,모나리자,5,0,0.57,2023
3385,에이프로젠바이오로직스,5,0,0.28,2023
3386,웹케시,5,0,0.42,2023
3387,에이프로젠,5,0,0.21,2023
3388,삼성제약,5,0,0.36,2023
3389,한신기계,5,0,0.33,2023
3390,한국전자금융,5,0,0.25,2023
3391,이구산업,5,0,0.4,2023
3392,인지컨트롤스,5,0,0.4,2023
3393,삼일제약,5,0,0.5,2023
3394,피에이치씨,5,0,0.25,2023
3395,제룡전기,5,0,0.16,2023
3396,유바이오로직스,5,0,0.12,2023
3397,코엔텍,5,0,0.15,2023
3398,유니테스트,5,0,0.17,2023
3399,아비코전자,5,0,0.25,2023
3400,유니켐,5,0,0.24,2023
3401,두올,5,0,0.41,2023
3402,수산중공업,5,0,0.37,2023
3403,화천기공,5,0,0.69,2023
3404,엘티씨,5,0,0.34,2023
3405,세아특수강,5,0,0.4,2023
3406,HLB글로벌,5,0,0.22,2023
3407,유니셈,5,0,0.18,2023
3408,디씨엠,5,0,0.37,2023
3409,브랜드엑스코퍼레이션,5,0,0.25,2023
3410,대현,5,0,0.52,2023
3411,솔루스첨단소재1우,5,0,0.82,2023
3412,쿠콘,5,0,0.22,2023
3413,동성제약,5,0,0.3,2023
3414,KTcs,5,0,0.3,2023
3415,다스코,5,0,0.55,2023
3416,신영와코루,4,0,0.53,2023
3417,유니온머티리얼,4,0,0.36,2023
3418,광전자,4,0,0.36,2023
3419,옵티팜,4,0,0.42,2023
3420,펨트론,4,0,0.45,2023
3421,펨트론무상(보),4,0,0,2023
3422,아이디스,4,0,0.19,2023
3423,영풍제지,4,0,0.33,2023
3424,삼일씨엔에스,4,0,0.77,2023
3425,우양,4,0,0.52,2023
3426,KTis,4,0,0.4,2023
3427,아이티엠반도체,4,0,0.07,2023
3428,조선선재,4,0,0.33,2023
3429,이노와이어리스,4,0,0.2,2023
3430,상신브레이크,4,0,0.52,2023
3431,에스엠벡셀,4,0,0.2,2023
3432,SG세계물산,4,0,0.44,2023
3433,무림페이퍼,4,0,0.43,2023
3434,한국화장품,4,0,0.39,2023
3435,코웰패션,4,0,0.12,2023
3436,미래에셋글로벌리츠,4,0,0.37,2023
3437,골프존뉴딘홀딩스,4,0,0.24,2023
3438,대구백화점,4,0,0.4,2023
3439,인팩,4,0,0.43,2023
3440,KIB플러그에너지,4,0,0.21,2023
3441,오로라,4,0,0.5,2023
3442,광명전기,4,0,0.37,2023
3443,대창,4,0,0.33,2023
3444,플리토,4,0,0.25,2023
3445,케이피에프,4,0,0.37,2023
3446,성창기업지주,4,0,0.28,2023
3447,삼양옵틱스,4,0,0.39,2023
3448,KG모빌리언스,4,0,0.18,2023
3449,인천도시가스,4,0,0.33,2023
3450,일동홀딩스,4,0,0.3,2023
3451,크라운해태홀딩스,4,0,0.41,2023
3452,부국증권,4,0,0.16,2023
