종목명,날짜,지분율(퍼센트)
현대엘리베이터(주),2022-07-26,5.83
롯데칠성음료(주),2022-07-26,9.95
(주)포스코인터내셔널,2022-07-28,9.15
(주)엘지에너지솔루션,2022-07-29,5.01
(주)동원F&B,2022-07-29,6.04
(주)호텔신라,2022-08-01,7.58
(주)LG생활건강,2022-08-01,7.98
한세실업(주),2022-08-02,9.05
DL,2022-08-02,11.45
(주)JB금융지주,2022-08-02,8.21
덴티움,2022-08-03,6.27
(주)한진,2022-08-04,4.11
(주)진성티이씨,2022-08-05,4.05
아세아시멘트(주),2022-08-05,5.02
파미셀(주),2022-08-05,5.08
(주)신세계푸드,2022-08-08,8.6
하이트진로(주),2022-08-08,7.73
(주)코리아써키트,2022-08-08,3.81
(주)하나투어,2022-08-09,4.23
(주)SBS,2022-08-09,12.72
피에이치에이(주),2022-08-09,4.91
에이치에스디엔진(주),2022-08-09,5.08
(주)셀트리온,2022-08-09,7.4
(주)오리온,2022-08-10,9.04
롯데정밀화학(주),2022-08-10,10.96
한전KPS(주),2022-08-10,12.51
현대제철(주),2022-08-10,6.52
솔루엠,2022-08-10,5
(주)이녹스첨단소재,2022-08-11,4.56
세아베스틸지주,2022-08-11,5.02
케이카(주),2022-08-12,5.09
현대해상화재보험(주),2022-08-12,11.76
삼성전자(주),2022-08-16,7.68
현대오토에버,2022-08-16,7.04
(주)한샘,2022-08-16,6.39
(주)신세계,2022-08-17,11.59
(주)에스엠엔터테인먼트,2022-08-17,8.96
대상(주),2022-08-19,12.53
기아,2022-08-19,7.46
(주)이오테크닉스,2022-08-19,4.08
SK디앤디(주),2022-08-23,6.03
삼성증권(주),2022-08-23,8.95
레이,2022-08-23,3.92
(주)나노신소재,2022-08-24,5.26
(주)효성,2022-08-24,8.46
SK케미칼(주),2022-08-25,5.97
(주)후성,2022-08-25,7.25
코스맥스비티아이(주),2022-08-26,4.44
한화에어로스페이스(주),2022-08-26,12.4
(주)이마트,2022-08-26,8.92
케이씨씨글라스,2022-08-29,9.12
롯데관광개발(주),2022-08-29,5.17
삼양식품(주),2022-08-29,8.38
㈜아모그린텍,2022-08-29,5.26
지에스건설(주),2022-08-29,11.02
현대위아(주),2022-08-30,10.79
코스모신소재(주),2022-08-30,8.34
한국투자금융지주(주),2022-08-30,9.56
(주)오스코텍,2022-08-30,3.95
오스템임플란트(주),2022-08-31,3.89
(주)경동나비엔,2022-08-31,6.05
(주)오뚜기,2022-08-31,6.01
삼강엠앤티(주),2022-09-01,5.03
(주)유한양행,2022-09-01,10.76
씨에스윈드(주),2022-09-01,11.05
디엘이앤씨,2022-09-01,9.76
현대건설기계(주),2022-09-02,7.06
롯데렌탈(주),2022-09-05,6.02
(주)인텍플러스,2022-09-05,5.09
한화솔루션(주),2022-09-06,9.93
현대에너지솔루션,2022-09-07,8.43
(주)영풍,2022-09-07,5.01
명신산업,2022-09-07,7.44
HDC(주),2022-09-07,4.01
팬오션(주),2022-09-08,7.15
(주)화신,2022-09-13,4.97
한솔제지(주),2022-09-13,6.59
(주)현대미포조선,2022-09-13,10.15
(주)두산,2022-09-15,11.73
(주)유니드,2022-09-16,10.94
(주)지누스,2022-09-19,4.94
효성중공업,2022-09-19,6.04
(주)와이지엔터테인먼트,2022-09-20,7.39
(주)신세계아이앤씨,2022-09-20,5.45
(주)태광,2022-09-20,7.01
(주)유진테크,2022-09-21,4.13
지에스건설(주),2022-09-21,10.01
OCI(주),2022-09-22,10.32
(주)BNK금융지주,2022-09-22,9.57
(주)두산테스나,2022-09-23,6.3
DL,2022-09-26,12.59
(주)세아제강,2022-09-26,5.13
(주)대한항공,2022-09-26,6.27
(주)크래프톤,2022-09-26,6.96
진에어,2022-09-27,6.58
현대일렉트릭앤에너지시스템,2022-09-27,10.18
(주)제이브이엠,2022-09-27,6.25
한화에어로스페이스(주),2022-09-27,10.13
(주)현대백화점,2022-09-28,9.1
(주)아프리카티비,2022-09-28,5.22
(주)이수페타시스,2022-09-29,6.73
피에스케이(주),2022-09-29,7.97
하이트진로(주),2022-09-29,6.72
두산밥캣(주),2022-09-29,6.11
롯데칠성음료(주),2022-09-30,10.95
(주)성광벤드,2022-09-30,6.22
피아이첨단소재(주),2022-10-04,7.38
(주)농심,2022-10-05,12.07
(주)제이와이피엔터테인먼트,2022-10-05,7.25
씨제이대한통운(주),2022-10-05,8.77
(주)오리온홀딩스,2022-10-07,6.09
(주)KB금융지주,2022-10-12,7.94
세아제강지주,2022-10-14,5.03
SKC(주),2022-10-14,8.41
한국항공우주산업(주),2022-10-17,9.1
현대엘리베이터(주),2022-10-17,4.81
(주)나노신소재,2022-10-19,6.27
맥쿼리한국인프라투융자회사,2022-10-19,5.01
(주)대우건설,2022-10-21,5.89
지에스건설(주),2022-10-21,9
