기준년월,구분,기간수익률,연환산수익률,전년도수익률,전년도수익금,3개년수익률,3개년수익금,5개년수익률,5개년수익금,설정후수익률,설정후수익금
2022-12,기타부문,1.15,1.15,0.46,6,0.75,30,,,1.43,241
2022-12,복지부문,-0.27,-0.27,-2.19,-4,-1.72,-9,,,5.83,599
2023-01,금융부문(국내주식),8.37,8.37,-22.76,-37456,4.41,20379,,,5.22,77626
2023-01,금융부문(국내채권),2.7,4.77,-5.56,-18628,-1.8,-17596,,,3.33,151114
2023-01,금융부문(단기자금),-0.37,-0.37,-0.86,-31,0.13,14,,,3.09,1586
2023-01,금융부문(대체투자),-1.76,-1.76,8.94,11620,11.56,36145,,,9.94,79289
2023-01,금융부문(전체),2.74,3.57,-8.24,-79567,3.28,8379,,,5.04,431361
2023-01,금융부문(해외주식),3.46,3.46,-12.34,-32844,6.93,44097,,,8.5,107598
2023-01,금융부문(해외채권),-0.81,0.22,-4.91,-3282,-0.09,-134,,,3.24,13800
2023-01,기금 전체,2.74,3.56,-8.22,-79552,3.28,83806,,,5.11,451284
2023-01,기타부문,0.14,1.59,0.78,16,0.75,30,,,1.43,241
2023-01,복지부문,0.01,0.09,-0.27,-1,-1.72,-9,,,5.83,599
2023-02,금융부문(국내주식),9.23,9.23,-22.76,-37456,4.41,20379,,,5.22,77626
2023-02,금융부문(국내채권),1.26,3.17,-5.56,-18628,-1.8,-17596,,,3.33,151114
2023-02,금융부문(단기자금),1.54,1.56,-0.86,-31,0.13,14,,,3.09,1586
2023-02,금융부문(대체투자),3.69,3.69,8.94,11620,11.56,36145,,,9.94,79289
2023-02,금융부문(전체),5.0,5.78,-8.24,-79567,3.28,8379,,,5.04,431361
2023-02,금융부문(해외주식),9.06,9.06,-12.34,-32844,6.93,44097,,,8.5,107598
2023-02,금융부문(해외채권),4.66,5.78,-4.91,-3282,-0.09,-134,,,3.24,13800
2023-02,기금 전체,5.0,5.77,-8.22,-79552,3.28,83806,,,5.11,451284
2023-02,기타부문,0.22,1.37,0.78,16,0.75,30,,,1.43,241
2023-02,복지부문,0.29,0.36,-0.27,-1,-1.72,-9,,,5.83,599
2023-03,금융부문(국내주식),12.42,12.42,-22.76,-37456,4.41,20379,,,5.22,77626
2023-03,금융부문(국내채권),3.25,4.99,-5.56,-18628,-1.8,-17596,,,3.33,151114
2023-03,금융부문(단기자금),1.5,1.51,-0.86,-31,0.13,14,,,3.09,1586
2023-03,금융부문(대체투자),3.49,3.49,8.94,11620,11.56,36145,,,9.94,79289
2023-03,금융부문(전체),6.36,7.06,-8.24,-79567,3.28,8379,,,5.04,431361
2023-03,금융부문(해외주식),9.7,9.7,-12.34,-32844,6.93,44097,,,8.5,107598
2023-03,금융부문(해외채권),5.38,6.4,-4.91,-3282,-0.09,-134,,,3.24,13800
2023-03,기금 전체,6.35,7.05,-8.22,-79552,3.28,83806,,,5.11,451284
2023-03,기타부문,0.35,1.44,1.15,16,0.75,30,,,1.43,241
2023-03,복지부문,0.53,0.6,-0.27,-1,-1.72,-9,,,5.83,599
2023-04,금융부문(국내주식),13.87,13.87,-22.76,-37456,4.41,20379,,,5.22,77626
2023-04,금융부문(국내채권),3.58,5.13,-5.56,-18628,-1.8,-17596,,,3.33,151114
2023-04,금융부문(단기자금),2.15,2.15,-0.86,-31,0.13,14,,,3.09,1586
2023-04,금융부문(대체투자),6.24,6.24,8.94,11620,11.56,36145,,,9.94,79289
2023-04,금융부문(전체),8.64,9.27,-8.24,-79567,3.28,8379,,,5.04,431361
2023-04,금융부문(해외주식),14.72,14.72,-12.34,-32844,6.93,44097,,,8.5,107598
2023-04,금융부문(해외채권),8.53,9.52,-4.91,-3282,-0.09,-134,,,3.24,13800
2023-04,기금 전체,8.63,9.26,-8.22,-79552,3.28,83806,,,5.11,451284
2023-04,기타부문,0.51,1.56,1.15,16,0.75,30,,,1.43,241
2023-04,복지부문,0.77,0.84,-0.27,-1,-1.72,-9,,,5.83,599
2023-05,금융부문(국내주식),17.37,17.37,-22.76,-37456,4.41,20379,,,5.22,77626
2023-05,금융부문(국내채권),2.97,4.33,-5.56,-18628,-1.8,-17596,,,3.33,151114
2023-05,금융부문(단기자금),2.37,2.38,-0.86,-31,0.13,14,,,3.09,1586
2023-05,금융부문(대체투자),4.84,4.84,8.94,11620,11.56,36145,,,9.94,79289
2023-05,금융부문(전체),8.29,8.84,-8.24,-79567,3.28,83785,,,5.04,431361
2023-05,금융부문(해외주식),13.67,13.67,-12.34,-32844,6.93,44097,,,8.5,107598
2023-05,금융부문(해외채권),6.8,7.65,-4.91,-3282,-0.09,-134,,,3.24,13800
2023-05,기금 전체,8.27,8.83,-8.22,-79552,3.28,83806,,,5.11,451284
2023-05,기타부문,0.64,1.54,1.15,16,0.75,30,,,1.43,241
2023-05,복지부문,1.01,1.07,-0.27,-1,-1.72,-9,,,5.83,599
2023-06,금융부문(국내주식),17.12,17.12,-22.76,-37456,4.41,20379,,,5.22,77626
2023-06,금융부문(국내채권),2.72,3.9,-5.56,-18628,-1.8,-17596,,,3.33,151114
2023-06,금융부문(단기자금),2.76,2.77,-0.86,-31,0.13,14,,,3.09,1586
2023-06,금융부문(대체투자),5.01,5.01,8.94,11620,11.56,36145,,,9.94,79289
2023-06,금융부문(전체),9.1,9.58,-8.24,-79567,3.28,83785,,,5.04,431361
2023-06,금융부문(해외주식),17.24,17.24,-12.34,-32844,6.93,44097,,,8.5,107598
