종목명,섹터,변동일자,매수매도,90일_수익률,90일_시장수익률,90일_초과수익률,180일_수익률,180일_시장수익률,180일_초과수익률,270일_수익률,270일_시장수익률,270일_초과수익률,360일_수익률,360일_시장수익률,360일_초과수익률
코스맥스,소재,2025-11-12,매도,0.2848101087703139,0.3268655678665374,-0.042055459096223546,0.2164167208250052,0.8053266829796097,-0.5889099621546046,,,,,,
한화엔진,산업재,2025-11-12,매도,0.2781065088757396,0.3268655678665374,-0.0487590589907978,0.8721893491124261,0.8053266829796097,0.06686266613281633,,,,,,
디어유,정보기술,2025-11-05,매수,0.1744505595525829,0.32304806749182907,-0.14859750793924617,-0.19708562848165692,0.8724310003155693,-1.0695166287972262,,,,,,
TCC스틸,소재,2025-11-05,매도,-0.04482493097147408,0.32304806749182907,-0.3678729984633031,0.0696381971352501,0.8724310003155693,-0.8027928031803192,,,,,,
하이록코리아,소재,2025-11-05,매도,-0.02342610285960661,0.32304806749182907,-0.3464741703514357,0.32196070419574135,0.8724310003155693,-0.550470296119828,,,,,,
덕산네오룩스,정보기술,2025-11-03,매수,-0.13443396226415094,0.20542318817448668,-0.3398571504386376,0.2169811320754717,0.7759902109435267,-0.5590090788680551,,,,,,
에스에프에이,산업재,2025-11-03,매도,0.26547488344374365,0.20542318817448668,0.060051695269256966,0.3215796812318899,0.7759902109435267,-0.4544105297116368,,,,,,
씨에스윈드,소재,2025-10-30,매도,-0.03477454963848642,0.29391302851791057,-0.328687578156397,0.6075558874599163,0.697376346490938,-0.08982045903102176,,,,,,
미코,정보기술,2025-10-29,매수,0.14696276943174397,0.21281257496385284,-0.06584980553210887,0.47942521227955587,0.6169144175267507,-0.13748920524719482,,,,,,
대한광통신,기타,2025-10-28,매수,0.9254312743461325,0.30269971842687965,0.6227315559192528,7.430717863105175,0.6454353200310788,6.785282543074096,,,,,,
유진테크,산업재,2025-10-28,매수,0.24719099740431488,0.30269971842687965,-0.055508721022564766,0.4631504160833996,0.6454353200310788,-0.18228490394767927,,,,,,
한글과컴퓨터,정보기술,2025-10-28,매도,0.05636826568018763,0.30269971842687965,-0.24633145274669202,-0.16999636267985258,0.6454353200310788,-0.8154316827109314,,,,,,
유니드,소재,2025-10-28,매도,0.13012731413484493,0.30269971842687965,-0.17257240429203471,0.37358131239364406,0.6454353200310788,-0.2718540076374348,,,,,,
대한유화,소재,2025-10-24,매수,0.21938346343719395,0.3118589054908428,-0.09247544205364883,0.19514727037508822,0.684858108389766,-0.4897108380146778,,,,,,
