종목명,섹터,변동일자,매수매도,90일_종목수익률,90일_시장수익률,90일_초과수익률,180일_종목수익률,180일_시장수익률,180일_초과수익률,270일_종목수익률,270일_시장수익률,270일_초과수익률,360일_종목수익률,360일_시장수익률,360일_초과수익률
감성코퍼레이션,기타,2025-12-09,매수,-0.1494772013978457,0.2674808714127639,-0.4169580728106096,,,,,,,,,
엘앤에프,기타,2025-12-08,매수,-0.14393939393939395,0.2640335977825238,-0.4079729917219177,,,,,,,,,
CJ제일제당,필수소비재,2025-12-05,매도,-0.0682807894436545,0.36191026166555235,-0.43019105110920686,,,,,,,,,
진시스템,헬스케어,2025-12-04,매도,0.030267753201396973,0.26437318678993116,-0.2341054335885342,,,,,,,,,
에스티팜,기타,2025-12-03,매수,0.3086627665641862,0.4349553021786842,-0.12629253561449805,,,,,,,,,
삼성전기,정보기술,2025-12-03,매수,0.5813984851981102,0.4349553021786842,0.146443183019426,,,,,,,,,
에스엘,정보기술,2025-12-03,매수,0.5575825429651288,0.4349553021786842,0.12262724078644455,,,,,,,,,
솔루스첨단소재,정보기술,2025-12-03,매도,0.006168671555382121,0.4349553021786842,-0.4287866306233021,,,,,,,,,
SNT에너지,산업재,2025-12-01,매도,0.1252071378345551,0.47738860952372414,-0.352181471689169,,,,,,,,,
우신시스템,산업재,2025-11-28,매도,0.07559555677745776,0.6062970359402942,-0.5307014791628364,,,,,,,,,
대한항공,산업재,2025-11-28,매도,0.28604154177830954,0.6062970359402942,-0.3202554941619846,,,,,,,,,
동아에스티,기타,2025-11-27,매도,0.03795068103271376,0.5259586991927868,-0.48800801816007305,,,,,,,,,
엠앤씨솔루션,산업재,2025-11-26,매수,0.1949719796643886,0.5071537213034443,-0.31218174163905565,,,,,,,,,
케이씨,기타,2025-11-26,매수,0.3073851891703849,0.5071537213034443,-0.1997685321330594,,,,,,,,,
와이지엔터테인먼트,기타,2025-11-26,매수,0.21783538930495971,0.5071537213034443,-0.28931833199848456,,,,,,,,,
테크윙,산업재,2025-11-26,매도,0.024221093850218436,0.5071537213034443,-0.48293262745322585,,,,,,,,,
하이트진로,기타,2025-11-25,매도,-0.023143164693218515,0.5154025888862092,-0.5385457535794277,,,,,,,,,
디와이파워,산업재,2025-11-24,매도,0.17428399080796567,0.5200204247168019,-0.34573643390883624,,,,,,,,,
